training_seed,mask_seed,term,unmasked_accuracy,nonrecent_masked_accuracy,random_masked_accuracy,baseline_accuracy,raw_nonrecent_cost_pp,random_deletion_cost_pp,nonrecent_excess_cost_pp,attnres_relative_gain_pp,absolute_ability_pp
1338,20260720,island_effects,49.73,49.7,52.24,51.17,0.02999999999999403,-2.510000000000005,2.539999999999999,-1.4400000000000048,-0.2700000000000031
1338,20260721,island_effects,49.73,49.7,53.21,51.17,0.02999999999999403,-3.480000000000004,3.509999999999998,-1.4400000000000048,-0.2700000000000031
1338,20260722,island_effects,49.73,49.7,51.41,51.17,0.02999999999999403,-1.6799999999999997,1.7099999999999937,-1.4400000000000048,-0.2700000000000031
1338,20260718,npi_licensing,49.62,43.08,49.18,54.93,6.539999999999999,0.4399999999999977,6.100000000000001,-5.310000000000002,-0.38000000000000256
1338,20260719,npi_licensing,49.62,43.08,40.03,54.93,6.539999999999999,9.589999999999996,-3.049999999999997,-5.310000000000002,-0.38000000000000256
1338,20260720,npi_licensing,49.62,43.08,45.34,54.93,6.539999999999999,4.279999999999994,2.260000000000005,-5.310000000000002,-0.38000000000000256
1338,20260721,npi_licensing,49.62,43.08,49.94,54.93,6.539999999999999,-0.3200000000000003,6.859999999999999,-5.310000000000002,-0.38000000000000256
1338,20260722,npi_licensing,49.62,43.08,41.77,54.93,6.539999999999999,7.849999999999994,-1.3099999999999952,-5.310000000000002,-0.38000000000000256
1338,20260718,quantifiers,80.64,58.2,71.2,81.08,22.439999999999998,9.439999999999998,13.0,-0.4399999999999977,30.64
1338,20260719,quantifiers,80.64,58.2,64.37,81.08,22.439999999999998,16.269999999999996,6.170000000000002,-0.4399999999999977,30.64
1338,20260720,quantifiers,80.64,58.2,63.85,81.08,22.439999999999998,16.79,5.649999999999999,-0.4399999999999977,30.64
1338,20260721,quantifiers,80.64,58.2,69.02,81.08,22.439999999999998,11.620000000000005,10.819999999999993,-0.4399999999999977,30.64
1338,20260722,quantifiers,80.64,58.2,73.75,81.08,22.439999999999998,6.890000000000001,15.549999999999997,-0.4399999999999977,30.64
1338,20260718,s-selection,77.83,68.65,68.98,77.12,9.179999999999993,8.849999999999994,0.3299999999999983,0.7099999999999937,27.83
1338,20260719,s-selection,77.83,68.65,70.79,77.12,9.179999999999993,7.039999999999992,2.1400000000000006,0.7099999999999937,27.83
1338,20260720,s-selection,77.83,68.65,70.57,77.12,9.179999999999993,7.260000000000005,1.9199999999999875,0.7099999999999937,27.83
1338,20260721,s-selection,77.83,68.65,70.24,77.12,9.179999999999993,7.590000000000003,1.5899999999999892,0.7099999999999937,27.83
1338,20260722,s-selection,77.83,68.65,71.29,77.12,9.179999999999993,6.539999999999992,2.6400000000000006,0.7099999999999937,27.83
1338,20260718,subject_verb_agreement,67.34,52.91,53.24,68.25,14.430000000000007,14.100000000000001,0.3300000000000054,-0.9099999999999966,17.340000000000003
1338,20260719,subject_verb_agreement,67.34,52.91,54.12,68.25,14.430000000000007,13.220000000000006,1.2100000000000009,-0.9099999999999966,17.340000000000003
1338,20260720,subject_verb_agreement,67.34,52.91,53.24,68.25,14.430000000000007,14.100000000000001,0.3300000000000054,-0.9099999999999966,17.340000000000003
1338,20260721,subject_verb_agreement,67.34,52.91,51.62,68.25,14.430000000000007,15.720000000000006,-1.2899999999999991,-0.9099999999999966,17.340000000000003
1338,20260722,subject_verb_agreement,67.34,52.91,54.08,68.25,14.430000000000007,13.260000000000005,1.1700000000000017,-0.9099999999999966,17.340000000000003
1339,20260718,anaphor_agreement,85.54,52.73,60.62,86.8,32.81000000000001,24.92000000000001,7.890000000000001,-1.259999999999991,35.540000000000006
1339,20260719,anaphor_agreement,85.54,52.73,65.14,86.8,32.81000000000001,20.400000000000006,12.410000000000004,-1.259999999999991,35.540000000000006
1339,20260720,anaphor_agreement,85.54,52.73,62.57,86.8,32.81000000000001,22.970000000000006,9.840000000000003,-1.259999999999991,35.540000000000006
1339,20260721,anaphor_agreement,85.54,52.73,60.25,86.8,32.81000000000001,25.290000000000006,7.520000000000003,-1.259999999999991,35.540000000000006
1339,20260722,anaphor_agreement,85.54,52.73,69.4,86.8,32.81000000000001,16.14,16.67000000000001,-1.259999999999991,35.540000000000006
1339,20260718,argument_structure,69.66,56.21,61.38,67.52,13.449999999999996,8.279999999999994,5.170000000000002,2.1400000000000006,19.659999999999997
1339,20260719,argument_structure,69.66,56.21,59.72,67.52,13.449999999999996,9.939999999999998,3.509999999999998,2.1400000000000006,19.659999999999997
1339,20260720,argument_structure,69.66,56.21,60.33,67.52,13.449999999999996,9.329999999999998,4.119999999999997,2.1400000000000006,19.659999999999997
1339,20260721,argument_structure,69.66,56.21,61.05,67.52,13.449999999999996,8.61,4.839999999999996,2.1400000000000006,19.659999999999997
1339,20260722,argument_structure,69.66,56.21,61.25,67.52,13.449999999999996,8.409999999999997,5.039999999999999,2.1400000000000006,19.659999999999997
1339,20260718,binding,69.77,60.71,60.66,68.63,9.059999999999995,9.11,-0.05000000000000426,1.1400000000000006,19.769999999999996
1339,20260719,binding,69.77,60.71,62.78,68.63,9.059999999999995,6.989999999999995,2.0700000000000003,1.1400000000000006,19.769999999999996
1339,20260720,binding,69.77,60.71,61.23,68.63,9.059999999999995,8.54,0.519999999999996,1.1400000000000006,19.769999999999996
1339,20260721,binding,69.77,60.71,61.32,68.63,9.059999999999995,8.449999999999996,0.6099999999999994,1.1400000000000006,19.769999999999996
1339,20260722,binding,69.77,60.71,60.88,68.63,9.059999999999995,8.889999999999993,0.1700000000000017,1.1400000000000006,19.769999999999996
1339,20260718,control_raising,63.26,56.75,58.06,63.76,6.509999999999998,5.199999999999996,1.3100000000000023,-0.5,13.259999999999998
